Vine,Shoot,VineShoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes,
9,63,90063,3,1,4,123,,,,,9.07,,
9,64,90064,3,2,1,7,,,,,6.99,,
9,65,90065,3,1,4,6,,,,,6.22,,
9,66,90066,3,1,6,69,,,,,8.96,,
9,67,90067,3,3,1,6,,,,,6.31,,
9,68,90068,3,2,6,,l,,,,9.52,,
9,69,90069,3,3,7,24,,,,,7.98,,
9,70,90070,3,3,4,3,,,,,6.65,,
9,71,90071,3,2,1,49,,,,,8.9,,
9,72,90072,3,3,1,18,,,,,6.49,,
9,73,90073,3,3,1,2,,,,,6.95,,
9,74,90074,3,1,2,24,,,,,8.27,,
9,75,90075,3,1,0,42,,,,,7.35,,
9,76,90076,3,1,2,13,,,,,7.28,,
9,345,90345,3,1,2,,l,,,,11.06,,
9,346,90346,3,1,4,60,,,,,8.87,,
9,347,90347,3,2,1,34,,,,,6.78,,
9,348,90348,3,1,3,,l,,,,11.84,,
9,349,90349,3,1,6,,l,,,,12.21,,
9,350,90350,3,2,1,,l,,,,11.41,,
9,351,90351,3,3,0,3,,,,,4.11,,
9,352,90352,3,1,3,,l,,,,9.8,,
9,353,90353,3,1,3,,l,,,,9.46,,
9,354,90354,3,3,3,3,,,,,6.45,,
9,355,90355,3,2,2,,l,,,,9.78,,
9,356,90356,3,1,0,,l,,,,8.49,,
9,357,90357,3,3,3,2,,,,,8.21,,
9,358,90358,3,1,3,58,,,,,7.83,,
9,359,90359,3,1,4,49,,,,,7.57,,
9,360,90360,3,1,0,44,,,,,6.48,,
9,361,90361,3,2,0,4,,,,,6.06,,
9,362,90362,3,3,1,21,,y,,,6.53,,
9,77,90077,4,1,0,16,,,,,5.99,,
9,78,90078,4,1,0,13,,,,,6.18,,
9,79,90079,4,1,3,,l,,,,11.89,,
9,80,90080,4,1,0,1,,,,,5.44,,
9,81,90081,4,1,0,4,,,,,4.05,,
9,82,90082,4,1,4,,l,,,,10.09,,
9,83,90083,5,1,1,,l,,,,12.22,,
9,84,90084,5,1,3,,l,,,,12.45,,
9,85,90085,5,1,2,,l,,,,11.2,,
9,86,90086,5,2,0,4,,,,,6.32,,
9,87,90087,5,3,2,4,,,,,5.95,,
9,88,90088,5,1,5,23,,,,,7.08,,
9,89,90089,5,3,0,2,,,,,3.49,,
9,90,90090,5,2,3,49,,,,,8.14,,
9,91,90091,5,3,0,3,,,,,4.29,,
9,92,90092,5,3,2,4,,,,,7.2,,
9,93,90093,5,2,3,106,,,,,8.23,,
9,94,90094,5,3,2,3,,,,,5.72,,
9,95,90095,5,2,1,101,,y,,,10.31,,
9,96,90096,5,3,2,2,,,,,6.11,,
9,97,90097,5,3,5,5,,,,,7.36,,
9,98,90098,5,1,5,37,,,,,8.5,,
9,99,90099,5,1,4,17,,,,,7.66,,
9,100,90100,5,1,5,35,,,,,6.98,,
9,101,90101,5,1,5,40,,,,,7.48,,
9,102,90102,5,2,3,31,,,,,6.98,,
9,103,90103,5,1,2,10,,,,,6.15,,
9,104,90104,5,1,4,,l,,,,12.32,,
9,105,90105,5,1,5,14,,y,,,12.28,,
9,106,90106,5,1,0,10,,,,,5.74,,
9,107,90107,5,3,1,1,,,,,4.29,,
9,108,90108,5,1,5,,l,,,,9.82,,
9,109,90109,5,1,5,53,,,,,8.62,,
9,110,90110,5,3,0,9,,,,,4.33,,
9,111,90111,5,2,4,,l,,,,10.22,,
9,112,90112,5,2,5,21,,,,,6.83,,
9,113,90113,5,2,4,98,,,,,8.29,,
9,114,90114,5,3,1,1,,,,,5.38,,
9,115,90115,5,2,0,,l,,,,9.99,,
9,116,90116,5,2,5,,l,,,,9.75,,
9,117,90117,5,2,2,66,,,,,8.07,,
9,118,90118,5,2,5,52,,,,,8.43,,
9,119,90119,5,3,1,4,,,,,6.37,,
9,120,90120,5,3,1,24,,,,,7.66,,
9,121,90121,5,2,2,77,,,,,8.08,,
9,122,90122,5,3,2,12,,,,,6.84,,
9,123,90123,5,2,2,80,,,,,8.69,,
9,124,90124,5,1,3,72,,,,,9.07,,
9,125,90125,5,2,4,52,,,,,8.88,,
9,126,90126,5,2,4,13,,,,,7.09,,
9,127,90127,5,1,4,7,,y,,,10.23,,
9,128,90128,5,3,0,2,,,,,3.35,,
9,129,90129,5,3,0,3,,,,,4.11,,
9,130,90130,5,1,5,60,,,,,9.13,,
9,131,90131,5,2,4,23,,,,,6.26,,
9,132,90132,5,1,4,7,,,,,6.69,,
9,133,90133,5,3,4,5,,,,,6.29,,
9,134,90134,5,1,3,50,,,,,8.28,,
9,135,90135,5,3,3,3,,,,,6.78,,
9,136,90136,5,2,4,11,,,,,6.56,,
9,137,90137,5,3,2,3,,,,,7.09,,
9,138,90138,5,3,1,1,,,,,4.56,,
9,139,90139,5,2,2,52,,,,,7.13,,
9,140,90140,5,2,2,31,,,,,7.04,,
9,141,90141,5,3,0,1,,,,,3.14,,
9,142,90142,5,3,1,3,,,,,6.54,,
9,143,90143,5,2,1,,l,,,,7.7,,
9,144,90144,5,2,0,20,,,,,7,,
9,145,90145,5,1,0,3,,,,,5.48,,
9,146,90146,5,2,3,55,,,,,8.8,,
9,147,90147,5,2,4,56,,,,,8.57,,
9,148,90148,5,1,2,3,,,,,7.34,,
9,149,90149,5,3,0,4,,,,,5.6,,
9,150,90150,5,2,0,15,,y,,,7.24,,
9,151,90151,6,1,0,3,,,,,6.02,,
9,152,90152,6,1,0,,l,,,,7.63,,
9,153,90153,6,1,1,,l,,,,10.72,,
9,154,90154,6,1,0,6,,,,,5.27,,
9,155,90155,6,2,3,7,,,,,5.2,,
9,156,90156,6,3,0,4,,,,,3.6,,
9,157,90157,6,3,5,6,,,,,6.63,,
9,158,90158,6,3,5,9,,,,,6.92,,
9,159,90159,6,1,4,,l,,,,11.01,,
9,160,90160,6,3,0,4,,,,,4.53,,
9,161,90161,6,1,5,,l,,,,10.38,,
9,162,90162,6,2,5,28,,,,,7.23,,
9,163,90163,6,2,0,6,,,,,5.48,,
9,164,90164,6,3,0,4,,,,,3.85,,
9,165,90165,6,1,2,77,,,,,8.58,,
9,166,90166,6,3,6,20,,,,,7.27,,
9,167,90167,6,1,4,42,,,,,7.38,,
9,168,90168,6,3,1,1,,,,,5.4,,
9,169,90169,6,2,3,103,,,,,10.01,,
9,170,90170,6,3,0,2,,,,,3.25,,
9,171,90171,6,2,1,75,,,,,8.12,,
9,172,90172,6,3,2,5,,,,,6.77,,
9,173,90173,6,3,1,39,,,,,8.2,,
9,174,90174,6,1,0,60,,,,,7.07,,
9,175,90175,6,2,0,41,,,,,7.1,,
9,176,90176,6,2,2,42,,,,,8.54,,
9,177,90177,6,3,0,21,,,,,5.72,,
9,178,90178,7,1,5,,l,,,,11.84,,
9,179,90179,7,3,1,4,,,,,5.38,,
9,180,90180,7,1,4,,l,,,,10.74,,
9,181,90181,7,3,5,7,,,,,6.86,,
9,182,90182,7,2,3,19,,,,,6.86,,
9,183,90183,7,2,3,102,,,,,8.88,,
9,184,90184,7,3,4,3,,,,,5.95,,
9,185,90185,7,1,5,87,,y,,,10.18,,
9,186,90186,7,3,4,3,,,,,7.11,,
9,187,90187,7,1,4,65,,y,,,9.27,,
9,188,90188,7,1,5,55,,,,,8.36,,
9,189,90189,7,3,6,5,,,,,7.03,,
9,190,90190,7,2,1,26,,,,,6.08,,
9,191,90191,7,2,5,38,,,,,7.11,,
9,192,90192,7,1,3,5,,,,,6.51,,
9,193,90193,7,3,2,3,,,,,5.78,,
9,194,90194,7,1,6,43,,,,,7.41,,
9,195,90195,7,1,0,32,,,,,5.37,,
9,363,90363,8,1,0,8,,,,,5.88,,
9,196,90196,8,1,0,,l,,,,10.54,,
9,197,90197,8,1,4,,l,,,,10.09,,
9,198,90198,8,1,0,3,,,,,5.5,,
9,199,90199,8,1,3,,l,,,,10.61,,
9,200,90200,8,1,6,,l,,,,10.73,,
9,201,90201,8,1,3,52,,,,,7.44,,
9,202,90202,8,3,1,7,,,,,6.84,,
9,203,90203,8,1,3,61,,,,,8.52,,
9,204,90204,8,2,3,22,,,,,7.22,,
9,205,90205,8,3,5,27,,,,,7.27,,
9,206,90206,8,1,1,,l,,,,11.76,,
9,207,90207,8,3,2,55,,,,,8.84,,
9,208,90208,8,2,4,96,,y,,,11.51,,
9,209,90209,8,3,6,53,,,,,8.04,,
9,210,90210,8,2,4,,l,,,,9.44,,
9,211,90211,8,2,6,54,,,,,9.97,,
9,212,90212,8,1,2,7,,,,,6.59,,
9,213,90213,8,2,6,67,,y,,,9.19,,
9,214,90214,8,3,3,7,,,,,5.8,,
9,215,90215,8,1,6,28,,y,,,9.93,,
9,216,90216,8,1,4,36,,,,,8.09,,
9,364,90364,8,1,4,,l,,,,13.71,,
9,365,90365,8,1,0,2,,,,,5.7,,
9,366,90366,8,1,2,57,,,,,7.96,,
9,367,90367,8,1,4,10,,,,,7.16,,
9,368,90368,8,2,0,9,,,,,5.6,,
9,369,90369,8,1,5,28,,,,,7.16,,
9,370,90370,8,3,3,4,,,,,6.01,,
9,371,90371,8,3,1,5,,,,,6.3,,
9,372,90372,8,3,5,23,,,,,7.83,,
9,373,90373,8,3,2,4,,,,,6.21,,
9,374,90374,8,1,6,64,,,,,8.12,,
9,375,90375,8,3,2,2,,,,,5.08,,
9,376,90376,8,1,4,45,,,,,8.01,,
9,377,90377,8,3,4,3,,,,,6.44,,
9,378,90378,8,3,2,1,,,,,5.55,,
9,379,90379,8,3,3,51,,,,,7.48,,
9,380,90380,8,3,1,3,,,,,5.2,,
9,381,90381,8,3,4,4,,,,,6.33,,
9,382,90382,8,3,4,8,,,,,6.96,,
9,383,90383,8,3,3,5,,,,,6.55,,
9,384,90384,8,3,2,3,,,,,6.33,,
9,385,90385,8,3,5,3,,,,,6.03,,
9,386,90386,8,3,2,4,,,,,5.81,,
9,387,90387,8,3,1,1,,,,,5.26,,
9,388,90388,8,1,3,50,,,,,7.7,,
9,389,90389,8,1,1,17,,,,,5.41,,
9,390,90390,8,1,0,44,,y,,,7.94,,
9,217,90217,9,1,6,7,,y,,,12.45,,
9,218,90218,10,1,0,,l,,,,11.79,,
9,219,90219,10,1,1,75,,,,,10.24,,
9,220,90220,10,1,5,,l,,,,11.14,,
9,221,90221,10,1,0,,l,,,,8.04,,
9,222,90222,10,2,2,24,,,,,6.98,,
9,223,90223,10,1,3,,l,,,,11.98,,
9,224,90224,10,1,4,,l,,,,8.64,,
9,225,90225,10,2,0,75,,,,,9.04,,
9,226,90226,10,1,7,,l,,,,11.09,,
9,227,90227,10,2,1,47,,,,,7.47,,
9,228,90228,10,3,3,15,,,,,6.96,,
9,229,90229,10,1,4,,l,,,,10.91,,
9,230,90230,10,3,2,6,,,,,6.49,,
9,231,90231,10,1,4,33,,,,,9.2,,
9,232,90232,10,3,2,5,,,,,7.18,,
9,233,90233,10,2,4,100,,y,,,10.32,,
9,234,90234,10,3,1,1,,,,,6.76,,
9,235,90235,10,3,3,13,,,,,7.2,,
9,236,90236,10,2,3,55,,,,,8.46,,
9,237,90237,10,1,0,,l,,,,9.39,,
9,238,90238,10,3,1,12,,,,,6.46,,
9,239,90239,10,3,4,47,,,,,7.52,,
9,240,90240,10,3,2,12,,,,,6.18,,
9,241,90241,10,2,1,36,,,,,6.18,,
9,242,90242,10,2,1,5,,,,,5.62,,
9,243,90243,10,3,0,2,,,,,2.52,,
9,244,90244,10,3,0,7,,,,,4.59,,
9,245,90245,11,1,0,3,,,,,6.92,,
9,246,90246,11,1,3,10,,y,,,11.82,,
9,247,90247,12,1,0,64,,,,,8,,
9,248,90248,13,1,3,5,,y,,,11.74,,
9,249,90249,13,1,5,,l,,,,11.14,,
9,250,90250,13,2,3,20,,,,,5.86,,
9,251,90251,13,1,1,7,,y,,,11.42,,
9,252,90252,13,1,0,,l,,,,15.29,,
9,253,90253,13,1,0,,l,,,,15.34,,
9,254,90254,13,1,4,,l,,,,11.41,,
9,255,90255,13,2,6,,l,,,,8.97,,
9,256,90256,13,1,4,29,,,,,7.32,,
9,257,90257,13,3,1,4,,,,,5.96,,
9,258,90258,13,2,5,61,,,,,8.08,,
9,259,90259,13,1,2,7,,,,,6.11,,
9,260,90260,13,3,3,6,,,,,6.47,,
9,261,90261,13,3,1,2,,,,,7.67,,
9,262,90262,13,2,3,64,,,,,8.59,,
9,263,90263,13,1,2,36,,,,,7.83,,
9,264,90264,13,3,4,6,,,,,6.99,,
9,265,90265,13,1,3,,l,,,,10.46,,
9,266,90266,13,3,0,44,,,,,5.44,,
9,267,90267,13,2,2,92,,,,,7.02,,
9,268,90268,13,2,2,20,,,,,8.16,,
9,269,90269,13,3,1,58,,,,,6.63,,
9,270,90270,13,2,4,64,,,,,7.12,,
9,271,90271,13,3,0,3,,,,,4.15,,
9,272,90272,13,3,2,33,,,,,7.71,,
9,273,90273,14,1,4,,l,,,,14.18,,
9,274,90274,14,1,5,,l,,,,11.53,,
9,275,90275,14,1,5,,l,,,,8.84,,
9,276,90276,14,1,0,,l,,,,9.09,,
9,277,90277,15,1,2,36,,y,,,7.86,,
9,278,90278,16,1,0,21,,,,,6.56,,
9,279,90279,16,1,5,,l,,,,11.57,,
9,280,90280,16,1,5,,l,,,,11.83,,
9,281,90281,16,3,0,2,,,,,4.01,,
9,282,90282,16,1,3,23,,,,,7.47,,
9,283,90283,16,1,6,43,,,,,8.38,,
9,284,90284,16,3,2,6,,,,,6.32,,
9,285,90285,16,1,4,5,,,,,7.31,,
9,286,90286,16,1,6,51,,,,,8.56,,
9,287,90287,16,1,4,,l,,,,9.47,,
9,288,90288,16,3,1,2,,,,,5.51,,
9,289,90289,16,1,5,144,,,,,8.02,,
9,290,90290,16,1,5,,l,,,,9.96,,
9,291,90291,16,3,1,2,,,,,5.09,,
9,292,90292,16,1,4,,l,,r,,9.4,,
9,293,90293,16,3,3,3,,,,,6.67,,
9,294,90294,16,1,6,66,,,,,8.7,,
9,295,90295,16,2,5,45,,,,,7.08,,
9,296,90296,16,3,4,10,,,,,7.53,,
9,297,90297,16,3,0,11,,,,,4.71,,
9,298,90298,16,3,1,16,,,,,6.59,,
9,299,90299,16,3,0,3,,,,,3.99,,
9,300,90300,16,1,0,,l,,,,9.8,,
9,301,90301,16,1,6,82,,,,,8.86,,
9,302,90302,16,2,5,41,,y,,,9.34,,
9,303,90303,16,1,0,4,,,,,4.57,,
9,304,90304,16,1,5,,l,,,,11.56,,
9,305,90305,16,1,0,22,,,,,6.18,,
9,306,90306,16,1,1,9,,,,,6.07,,
9,307,90307,16,3,0,16,,,,,4.64,,
9,308,90308,16,1,5,51,,,,,7.06,,
9,309,90309,16,1,0,,l,,,,12.13,,
9,310,90310,16,3,0,2,,,,,3.71,,
9,311,90311,16,2,3,7,,,,,7.27,,
9,312,90312,16,2,5,,l,,,,10.35,,
9,313,90313,16,3,2,3,,,,,6.51,,
9,314,90314,16,3,5,4,,,,,8.36,,
9,315,90315,16,2,0,,l,,,,10.45,,
9,316,90316,16,3,2,26,,,,,7.04,,
9,317,90317,16,2,4,10,,,,,6.81,,
9,318,90318,16,3,0,11,,,,,4.68,,
9,319,90319,16,3,0,23,,,,,4.88,,
9,320,90320,16,3,4,3,,,,,7.18,,
9,321,90321,16,2,2,49,,,,,6.69,,
9,322,90322,16,3,2,2,,,,,6.47,,
9,323,90323,16,3,3,2,,,,,7.55,,
9,324,90324,16,1,0,6,,,,,5.4,,
9,325,90325,16,1,2,,l,,r,,13.66,,
9,326,90326,16,2,1,18,,,,,6.05,,
9,327,90327,16,1,7,14,,y,,,11.86,,
9,328,90328,16,3,1,10,,,,,5.69,,
9,329,90329,16,1,6,,l,,,,12.79,,
9,330,90330,16,1,0,7,,,,,5.59,,
9,331,90331,16,1,0,50,,,,,7.43,,
9,332,90332,16,1,2,,l,,,,11.78,,
9,333,90333,16,1,5,40,,,,,7.17,,
9,334,90334,16,1,2,,l,,,,11.63,,
9,335,90335,16,1,2,,l,,,,9.6,,
9,336,90336,16,2,6,86,,,,,9.28,,
9,337,90337,16,2,3,20,,,,,7.38,,
9,338,90338,16,3,5,51,,,,,8.5,,
9,339,90339,16,1,5,57,,,,,9.61,,
9,340,90340,16,3,0,38,,,,,6.56,,
9,341,90341,16,2,2,80,,,,,8.52,,
9,342,90342,16,1,3,90,,y,,,10.11,,
9,343,90343,16,1,4,63,,y,,,9.16,,
9,344,90344,16,1,1,10,,y,,,8.85,,
