Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes,,,,,,,,,,,
65,5,1,,31,,y,,,10.83,,,,,,,,,,,,
66,5,1,,27,,y,,,11.84,,,,,,,,,,,,
67,5,1,,35,,y,,,11.32,,,,,,,,,,,,
68,5,1,,48,,,,,8.78,,,,,,,,,,,,
69,5,1,,26,,y,,,14.83,,,,,,,,,,,,
70,5,1,,40,,y,,,13,,,,,,,,,,,,
71,5,1,,4,,,,,7.13,,,,,,,,,,,,
72,5,1,,,l,,,,11.48,,,,,,,,,,,,
73,5,1,,58,,,,,9.29,,,,,,,,,,,,
74,5,1,,,l,,r,,16.71,,,,,,,,,,,,
75,5,1,,,l,,,,9.04,,,,,,,,,,,,
76,5,1,,78,,,,,8.46,,,,,,,,,,,,
77,5,1,,12,,,,,5.82,,,,,,,,,,,,
78,5,1,,54,,y,,,9.96,,,,,,,,,,,,
79,5,1,,48,,,,,9.38,,,,,,,,,,,,
80,5,1,,21,,y,,,14.73,,,,,,,,,,,,
81,5,1,,11,,,,,5.72,,,,,,,,,,,,
82,5,1,,53,,,,,8.95,,,,,,,,,,,,
83,6,1,,6,,y,,,8.55,,,,,,,,,,,,
84,7,1,,17,,,,,7.15,,,,,,,,,,,,
85,8,1,,33,,y,,,13.63,,,,,,,,,,,,
86,8,1,,46,,y,,,13.78,,,,,,,,,,,,
87,8,1,,,l,,,,10.58,,,,,,,,,,,,
88,8,1,,21,,,,,6.81,,,,,,,,,,,,
89,8,1,,9,,,,,6.22,,,,,,,,,,,,
90,8,1,,108,,,,,10.39,,,,,,,,,,,,
91,8,1,,,l,,,,12.75,,,,,,,,,,,,
92,8,1,,43,,,,,9.33,,,,,,,,,,,,
93,8,1,,93,,,,,9.66,,,,,,,,,,,,
94,8,1,,31,,,,,7.44,,,,,,,,,,,,
95,8,2,,16,,,,,7.7,,,,,,,,,,,,
96,8,1,,12,,,,,7.36,,,,,,,,,,,,
97,8,1,,50,,y,,,9.2,,,,,,,,,,,,
98,8,1,,30,,,,,8.83,,,,,,,,,,,,
99,8,1,,27,,,,,6.84,,,,,,,,,,,,
100,8,1,,6,,,,,7.68,,,,,,,,,,,,
101,8,1,,41,,,,,5.99,,,,,,,,,,,,
102,8,1,,10,,,,,5.48,,,,,,,,,,,,
103,8,1,,18,,,,,6.94,,,,,,,,,,,,
104,8,1,,6,,y,,,8.15,,,,,,,,,,,,
105,9,1,,61,,y,,,11.36,,,,,,,,,,,,
106,9,1,,34,,y,,,12.16,,,,,,,,,,,,
107,9,1,,7,,,,,5.26,,,,,,,,,,,,
108,9,1,,,l,,,,9.47,,,,,,,,,,,,
109,9,1,,6,,,,,7.78,,,,,,,,,,,,
110,9,1,,29,,,,,8.96,,,,,,,,,,,,
111,9,1,,,l,,,,10.48,,,,,,,,,,,,
112,9,1,,,l,,,,9.07,,,,,,,,,,,,
113,9,1,,8,,,,,7.74,,,,,,,,,,,,
114,9,1,,17,,,,,5.41,,,,,,,,,,,,
115,9,1,,49,,,,,9.94,,,,,,,,,,,,
116,9,1,,13,,,,,6.68,,,,,,,,,,,,
117,9,1,,1,,,,,5.89,,,,,,,,,,,,
118,9,1,,6,,,,,6.59,,,,,,,,,,,,
119,9,1,,11,,,,,8,,,,,,,,,,,,
120,9,1,,47,,,,,8.1,,,,,,,,,,,,
121,9,1,,15,,y,,,6.83,,,,,,,,,,,,
122,9,1,,7,,y,,,7.01,,,,,,,,,,,,
123,10,1,,8,,y,,,9.95,,,,,,,,,,,,
124,11,1,,43,,,,,7.93,,,,,,,,,,,,
125,12,1,,,l,,r,,15.01,,,,,,,,,,,,
126,12,1,,34,,y,,,11.19,,,,,,,,,,,,
127,12,1,,42,,,,,8.77,,,,,,,,,,,,
128,12,1,,56,,,,,8.64,,,,,,,,,,,,
129,12,1,,,l,,,,10.93,,,,,,,,,,,,
130,12,1,,7,,,,,7.59,,,,,,,,,,,,
131,12,2,,,l,,,,9.05,,,,,,,,,,,,
132,12,1,,8,,,,,5.27,,,,,,,,,,,,
133,12,2,,14,,,,,4.99,,,,,,,,,,,,
134,12,1,,49,,,,,9.13,,,,,,,,,,,,
135,12,1,,48,,,,,9.38,,,,,,,,,,,,
136,12,1,,78,,,,,10.18,,,,,,,,,,,,
137,12,1,,24,,,,,6.63,,,,,,,,,,,,
138,12,1,,46,,,,,8.6,,,,,,,,,,,,
139,12,1,,78,,,,,9.07,,,,,,,,,,,,
140,12,1,,5,,,,,7.88,,,,,,,,,,,,
141,12,1,,27,,,,,8.68,,,,,,,,,,,,
142,12,1,,23,,,,,6.64,,,,,,,,,,,,
143,13,1,,,l,r,,,14.18,,,,,,,,,,,,
144,13,1,,45,,y,,,12.53,,,,,,,,,,,,
145,14,1,,4,,,,,5.89,,,,,,,,,,,,
146,14,1,,,l,,,,12.12,,,,,,,,,,,,
147,14,1,,5,,,,,5.97,,,,,,,,,,,,
148,14,1,,46,,y,,,13.42,,,,,,,,,,,,
149,14,1,,44,,y,,,13.87,,,,,,,,,,,,
150,14,1,,86,,,,,8.64,,,,,,,,,,,,
151,14,1,,6,,,,,5.27,,,,,,,,,,,,
152,14,1,,73,,y,,,10.89,,,,,,,,,,,,
153,14,2,,5,,,,,4.84,,,,,,,,,,,,
154,14,1,,0.5,,,,,6.28,,,,,,,,,,,,
155,14,1,,47,,,,,8.67,,,,,,,,,,,,
156,14,1,,10,,,,,6.59,,,,,,,,,,,,
157,14,1,,40,,,,,7.08,,,,,,,,,,,,
158,14,1,,,l,,r,,15.99,,,,,,,,,,,,
159,14,1,,24,,y,,,9.11,,,,,,,,,,,,
160,14,1,,19,,,,,7.49,,,,,,,,,,,,
161,14,1,,43,,,,,8.4,,,,,,,,,,,,
162,14,1,,18,,,,,6.8,,,,,,,,,,,,
163,14,1,,34,,,,,8.3,,,,,,,,,,,,
164,14,1,,3,,,,,5.23,,,,,,,,,,,,
165,14,1,,47,,,,,7.06,,,,,,,,,,,,
166,15,1,,9,,,,,8.08,,,,,,,,,,,,
167,15,1,,3,,,,,4.39,,,,,,,,,,,,
168,15,1,,,l,y,,,16.05,,,,,,,,,,,,
169,15,1,,45,,y,,,12.93,,,,,,,,,,,,
170,15,1,,4,,,,,6.84,,,,,,,,,,,,
171,15,1,,62,,y,,,10.71,,,,,,,,,,,,
172,15,1,,18,,,,,8.38,,,,,,,,,,,,
173,15,1,,24,,,,,6.55,,,,,,,,,,,,
174,15,1,,,l,,,,10.91,,,,,,,,,,,,
175,15,1,,2,,,,,5.43,,,,,,,,,,,,
176,15,1,,21,,,,,7.48,,,,,,,,,,,,
177,15,1,,1,,,,,7.62,,,,,,,,,,,,
178,15,1,,,l,,,,10.11,,,,,,,,,,,,
179,15,1,,3,,,,,5.78,,,,,,,,,,,,
180,15,1,,11,,,,,6.06,,,,,,,,,,,,
181,15,1,,56,,,,,10.34,,,,,,,,,,,,
182,15,1,,45,,,,,7.52,,,,,,,,,,,,
183,15,1,,41,,,,,8.19,,,,,,,,,,,,
184,15,1,,58,,,,,8.86,,,,,,,,,,,,
185,15,1,,23,,,,,6.3,,,,,,,,,,,,
186,17,1,,,l,,,,12.81,,,,,,,,,,,,
187,17,1,,,l,y,,,15.26,,,,,,,,,,,,
188,17,1,,61,,y,,,10.9,,,,,,,,,,,,
189,17,1,,,l,y,,,13.37,,,,,,,,,,,,
190,17,1,,,l,y,,,13.81,,,,,,,,,,,,
191,17,1,,,l,y,,,12.84,,,,,,,,,,,,
192,17,1,,76,,y,,,11.97,,,,,,,,,,,,
193,17,1,,6,,,,,7.39,,,,,,,,,,,,
194,17,1,,3,,,,,5.7,,,,,,,,,,,,
195,17,1,,15,,,,,6.67,,,,,,,,,,,,
196,17,1,,29,,,,,8.02,,,,,,,,,,,,
197,17,1,,55,,,,,9.39,,,,,,,,,,,,
198,17,1,,,l,,,,10.48,,,,,,,,,,,,
199,17,1,,24,,,,,7.27,,,,,,,,,,,,
200,17,1,,21,,,,,5.54,,,,,,,,,,,,
201,17,1,,22,,,,,5.08,,,,,,,,,,,,
202,17,1,,75,,,,,10.58,,,,,,,,,,,,
203,17,1,,51,,,,,8.73,,,,,,,,,,,,
204,17,1,,50,,,,,6.36,,,,,,,,,,,,
205,18,1,,9,,y,,,11.82,,,,,,,,,,,,
206,19,1,,13,,,,,6.65,,,,,,,,,,,,
207,19,1,,,l,,,,14.2,,,,,,,,,,,,
208,16,1,,13,,,,,6.8,,,,,,,,,,,,
209,16,1,,47,,,,,8.87,,,,,,,,,,,,
210,20,1,,22,,,,,7.39,,,,,,,,,,,,
211,20,1,,,l,y,,,10.17,,,,,,,,,,,,
212,20,1,,32,,,,,8.49,,,,,,,,,,,,
213,20,1,,,l,,,,11.67,,,,,,,,,,,,
214,20,1,,28,,,,,6.25,,,,,,,,,,,,
215,20,1,,84,,,,,7.71,,,,,,,,,,,,
216,20,1,,,l,,,,11.83,,,,,,,,,,,,
217,20,1,,71,,,,,7.75,,,,,,,,,,,,
218,20,1,,13,,,,,6.96,,,,,,,,,,,,
219,20,1,,5,,,,,5.36,,,,,,,,,,,,
220,20,1,,,l,,,,7.9,,,,,,,,,,,,
221,20,1,,38,,,,,6.57,,,,,,,,,,,,
222,20,1,,90,,,,,10.07,,,,,,,,,,,,
223,20,1,,50,,,,,8.21,,,,,,,,,,,,
224,20,1,,11,,,,,6.58,,,,,,,,,,,,
225,20,1,,44,,,,,7.72,,,,,,,,,,,,
226,20,1,,3,,,,,5.39,,,,,,,,,,,,
227,20,1,,40,,,,,8.68,,,,,,,,,,,,
228,20,1,,,l,,,,10.23,,,,,,,,,,,,
229,21,1,,,l,,,,10.86,,,,,,,,,,,,
230,21,1,,12,,,,,6.82,,,,,,,,,,,,
231,21,1,,,l,,,,12.7,,,,,,,,,,,,
232,21,1,,78,,,,,8.03,,,,,,,,,,,,
233,21,2,,11,,y,,,5.43,,,,,,,,,,,,
234,21,1,,46,,,,,9.74,,,,,,,,,,,,
235,21,3,,1,,,,,5.56,,,,,,,,,,,,
236,21,1,,14,,,,,6.78,,,,,,,,,,,,
237,21,1,,9,,,,,5.9,,,,,,,,,,,,
238,21,1,,4,,,,,6.63,,,,,,,,,,,,
239,21,1,,33,,,,,8.82,,,,,,,,,,,,
240,21,1,,70,,,,,9.22,,,,,,,,,,,,
241,21,1,,27,,,,,8.53,,,,,,,,,,,,
242,21,1,,60,,,,,8.75,,,,,,,,,,,,
243,21,1,,43,,,,,7.47,,,,,,,,,,,,
244,22,1,,4,,,,,6.56,,,,,,,,,,,,
245,22,1,,,l,,,,13.51,,,,,,,,,,,,
246,22,1,,5,,,,,7.8,,,,,,,,,,,,
247,22,1,,39,,y,,,12.09,,,,,,,,,,,,
248,22,1,,,l,,,,12.45,,,,,,,,,,,,
249,22,1,,,l,,,,10.15,,,,,,,,,,,,
250,22,1,,,l,y,,,15.75,,,,,,,,,,,,
251,22,1,,45,,y,,,11.78,,,,,,,,,,,,
252,22,1,,45,,y,,,10.86,,,,,,,,,,,,
253,22,1,,15,,y,,,7.31,,,,,,,,,,,,
254,22,1,,47,,,,,7.87,,,,,,,,,,,,
255,22,1,,71,,,,,8.48,,,,,,,,,,,,
256,22,1,,73,,,,,12.31,,,,,,,,,,,,
257,22,1,,,l,,,,9.21,,,,,,,,,,,,
258,22,1,,66,,,,,8.44,,,,,,,,,,,,
259,22,1,,12,,,,,5.25,,,,,,,,,,,,
260,22,1,,39,,,,,8.58,,,,,,,,,,,,
261,22,1,,44,,,,,9.31,,,,,,,,,,,,
262,22,1,,12,,y,,,9.69,,,,,,,,,,,,
263,22,1,,2,,,,,4.74,,,,,,,,,,,,
264,22,1,,,l,y,,,10.58,,,,,,,,,,,,
265,22,1,,36,,y,,,9.5,,,,,,,,,,,,
266,22,1,,12,,,,,7.16,,,,,,,,,,,,
267,22,1,,22,,,,,7.41,,,,,,,,,,,,
268,22,1,,47,,,,,8.6,,,,,,,,,,,,
269,22,1,,54,,y,,,11.19,,,,,,,,,,,,
270,22,1,,47,,,,,7.52,,,,,,,,,,,,
271,22,1,,8,,y,,,8.82,,,,,,,,,,,,
272,22,1,,2,,,,,5.48,,,,,,,,,,,,
273,22,1,,7,,,,,6.49,,,,,,,,,,,,
274,22,1,,8,,,,,6.31,,,,,,,,,,,,
275,22,1,,27,,,,,9.26,,,,,,,,,,,,
276,22,1,,7,,,,,6.42,,,,,,,,,,,,
277,22,1,,16,,,,,7.11,,,,,,,,,,,,
278,22,1,,2,,,,,6.01,,,,,,,,,,,,
279,22,1,,35,,,,,7.78,,,,,,,,,,,,
280,23,1,,,l,,,,10.97,,,,,,,,,,,,
281,23,1,,31,,,,,8.58,,,,,,,,,,,,
282,23,1,,,l,y,,,10.58,,,,,,,,,,,,
283,23,1,,77,,,,,11.08,,,,,,,,,,,,
284,23,1,,3,,,,,6.65,,,,,,,,,,,,
285,23,1,,,l,,,,11.54,,,,,,,,,,,,
286,24,1,,3,,,,,5.91,,,,,,,,,,,,
287,24,1,,102,,,,,7.65,,,,,,,,,,,,
288,25,1,,48,,y,,,11.37,,,,,,,,,,,,
289,25,1,,31,,,,,6.65,,,,,,,,,,,,
290,25,1,,64,,,,,8.65,,,,,,,,,,,,
291,26,1,,1,,,,,4.83,,,,,,,,,,,,
292,26,1,,46,,,,,8.29,,,,,,,,,,,,
293,26,1,,,l,,,,10.34,,,,,,,,,,,,
294,26,1,,36,,y,,,11.51,,,,,,,,,,,,
295,26,1,,41,,,,,8.59,,,,,,,,,,,,
296,26,1,,45,,,,,11.25,,,,,,,,,,,,
297,26,1,,10,,,,,7.93,,,,,,,,,,,,
298,26,1,,3,,,,,8.54,,,,,,,,,,,,
299,26,1,,,l,,,,8.52,,,,,,,,,,,,
300,26,1,,59,,y,,,10.37,,,,,,,,,,,,
301,26,1,,,l,,,,10.52,,,,,,,,,,,,
302,26,3,,0.5,,,,,8.03,,,,,,,,,,,,
303,26,1,,80,,,,,10.76,,,,,,,,,,,,
304,26,1,,8,,,,,6.86,,,,,,,,,,,,
305,26,1,,41,,,,,8.1,,,,,,,,,,,,
306,26,1,,26,,,,,7.53,,,,,,,,,,,,
307,26,1,,28,,,,,6.86,,,,,,,,,,,,
308,26,1,,72,,,,,9.87,,,,,,,,,,,,
309,26,1,,37,,,,,7.79,,,,,,,,,,,,
310,27,1,,9,,,,,7.72,,,,,,,,,,,,
311,27,1,,44,,y,,,11.94,,,,,,,,,,,,
312,27,1,,41,,y,,,13.25,,,,,,,,,,,,
313,27,1,,2,,,,,4.97,,,,,,,,,,,,
314,27,1,,45,,,,,7.34,,,,,,,,,,,,
315,27,1,,0.5,,,,,2.84,,,,,,,,,,,,
316,27,1,,45,,y,,,11.13,,,,,,,,,,,,
317,27,1,,70,,,,,9.88,,,,,,,,,,,,
318,27,1,,41,,,,,10.06,,,,,,,,,,,,
319,27,1,,63,,,,,10.84,,,,,,,,,,,,
320,27,1,,7,,,,,5.81,,,,,,,,,,,,
321,27,1,,48,,,,,9.33,,,,,,,,,,,,
322,28,1,,,l,,,,16.18,,,,,,,,,,,,
323,29,1,,59,,,,,7.96,,,,,,,,,,,,
324,30,1,,10,,,,,6.46,,,,,,,,,,,,
325,30,1,,34,,,,,11.96,,,,,,,,,,,,
326,5,1,,39,,,,,8.05,,,,,,,,,,,,
327,17,1,,21,,,,,7.77,,,,,,,,,,,,
328,22,1,,3,,,,,6.1,,,,,,,,,,,,
329,22,1,,3,,,,,5.12,,,,,,,,,,,,
330,22,1,,36,,,,,6.6,,,,,,,,,,,,
331,22,1,,86,,,,,11.32,,,,,,,,,,,,
