Vine,Shoot,VineShoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes
2,127,20127,6,1,3,4,,,,,6.57,
2,128,20128,6,3,1,1,,,,,6.55,
2,129,20129,6,1,1,1,,,,,5.64,
2,130,20130,6,1,3,7,,,,,6.13,
2,131,20131,6,1,2,10,,,,,5.98,
2,132,20132,6,1,2,10,,,,,5.6,
2,133,20133,6,1,2,2,,,,,5.38,
2,134,20134,6,1,3,12,,,,,5.22,
2,135,20135,6,1,3,7,,,,,6.45,
2,136,20136,6,1,2,6,,,,,5.98,
2,137,20137,6,1,5,12,,y,,,7.7,
2,92,20092,6,1,1,5,,,,,7.04,
2,93,20093,6,1,4,,l,,regrowth,,12.64,
2,94,20094,6,1,3,,l,,,,11.69,
2,95,20095,6,1,0,2,,,,,3.88,
2,96,20096,6,1,1,17,,,,,8.3,
2,97,20097,6,1,5,160,,,,,9.72,
2,98,20098,6,1,0,7,,,,,6.07,
2,99,20099,6,1,4,62,,,,,7.57,
2,100,20100,6,1,1,,l,,,,10.81,
2,101,20101,6,2,1,190,,y,,,12.63,
2,102,20102,6,2,5,26,,,,,6.93,
2,103,20103,6,1,4,15,,,,,7.05,
2,104,20104,6,3,5,41,,,,,7.33,
2,105,20105,6,2,5,17,,,,,6.9,
2,106,20106,6,2,6,41,,,,,7.41,
2,107,20107,6,1,3,3,,,,,5.78,
2,108,20108,6,1,2,57,,,,,7.91,
2,109,20109,6,2,5,45,,,,,6.82,
2,110,20110,6,1,7,11,,,,,6.07,
2,111,20111,6,1,4,10,,,,,4.82,
2,112,20112,6,1,6,26,,y,,,7.04,
2,138,20138,7,1,1,11,,y,,,9.38,
2,139,20139,7,1,0,40,,,,,7.04,
2,140,20140,7,1,0,29,,,,,7.55,
2,141,20141,7,1,6,120,,,,,8.97,
2,142,20142,7,1,1,128,,,,,8.61,
2,143,20143,7,1,1,,l,,,,9.51,
2,144,20144,7,1,4,90,,,,,7.85,
2,145,20145,7,1,1,95,,,,,8.01,
2,146,20146,7,1,3,5,,,,,5.73,
2,147,20147,7,1,0,,l,,,,10.61,
2,148,20148,7,2,1,68,,,,,7.1,
2,149,20149,7,1,3,41,,,,,6.82,
2,150,20150,7,2,3,50,,,,,7.23,
2,151,20151,7,2,1,14,,,,,6.26,
2,152,20152,7,2,1,43,,,,,6.44,
2,153,20153,7,1,0,5,,,,,5.1,
2,154,20154,7,2,3,20,,,,,5.74,
2,155,20155,7,1,1,31,,,,,5.99,
2,156,20156,7,1,6,45,,,,,6.29,
2,157,20157,7,1,0,42,,y,,,9.43,
2,158,20158,7,1,1,83,,,,,9.36,
2,159,20159,7,1,2,58,,,,,9.1,
2,160,20160,7,1,2,,l,,,strung,15.29,
2,161,20161,7,1,3,,l,,regrowth,,13.65,
2,162,20162,7,1,1,10,,,,,6.33,
2,163,20163,7,1,3,,l,,,,9.76,
2,164,20164,7,1,1,18,,,,,6.82,
2,165,20165,7,1,2,46,,,,,6.9,
2,166,20166,7,1,2,,l,,,,9.61,
2,167,20167,7,2,6,160,,,,,10.13,
2,168,20168,7,1,3,12,,,,,7.92,
2,169,20169,7,3,0,6,,,,,5.02,
2,170,20170,7,2,0,28,,,,,5.9,
2,171,20171,7,1,0,1,,,,,2.08,
2,172,20172,7,1,5,66,,,,,7.82,
2,173,20173,7,1,3,5,,,,,5.45,
2,174,20174,7,1,1,51,,,,,7.24,
2,175,20175,7,2,5,10,,y,,,7.28,
2,176,20176,8,1,6,11,,y,,,10.45,
2,177,20177,9,1,0,5,,,,,6.03,
2,178,20178,9,1,4,,l,,,,9.9,
2,179,20179,9,1,0,3,,,,,6.41,
2,180,20180,9,1,1,21,,,,,5.74,
2,181,20181,9,1,2,8,,,,,6.99,
2,182,20182,9,1,3,20,,,,,7.11,
2,183,20183,9,2,2,25,,,,,5.85,
2,184,20184,9,2,3,,l,,,,8.16,
2,185,20185,9,3,3,7,,,,,7.77,
2,186,20186,9,2,5,85,,,,,9.78,
2,187,20187,9,2,3,63,,,,,7.95,
2,188,20188,9,1,3,,l,,,,10.5,
2,189,20189,9,1,1,3,,,,,6,
2,190,20190,9,1,2,8,,,,,6.67,
2,191,20191,9,1,3,26,,,,,7.57,
2,192,20192,9,1,0,4,,,,,5.53,
2,193,20193,9,1,4,20,,,,,7.19,
2,194,20194,9,1,3,24,,,,,6.96,
2,195,20195,9,1,0,1,,,,,4.85,
2,196,20196,9,1,0,45,,y,,,7.86,
2,197,20197,9,1,0,3,,,,,4.97,
2,198,20198,9,1,2,45,,,,,8,
2,199,20199,9,1,0,7,,,,,6.03,
2,200,20200,9,1,5,18,,y,,,7.5,
2,201,20201,9,1,2,20,,y,,,6.04,
2,202,20202,10,3,0,8,,y,,,15.49,
2,203,20203,10,1,5,,l,,,,19.77,
2,204,20204,10,1,1,6,,y,,,12.32,
2,205,20205,10,1,0,,l,,,,12.41,
2,206,20206,10,1,0,8,,y,,,12.64,
2,207,20207,10,1,3,15,,,,,6.2,
2,208,20208,10,2,4,37,,,,,6.32,
2,209,20209,10,1,1,137,,,r,,11.5,
2,210,20210,10,1,4,3,,,,,6.63,
2,211,20211,10,1,2,61,,,,,7.79,
2,212,20212,10,1,2,8,,,,,5.19,
2,213,20213,10,1,4,76,,,,,9.39,
2,214,20214,10,1,5,67,,,,,7.73,
2,215,20215,10,1,2,22,,,,,5.51,
2,216,20216,10,1,1,35,,y,,,9.91,
2,217,20217,10,3,5,27,,y,,,9.17,
2,218,20218,10,3,5,17,,y,,,8.05,
2,219,20219,11,1,3,,l,,,strung,16.81,
2,220,20220,11,1,2,160,,y,,,13.14,
2,221,20221,11,1,3,,l,,,strung,17.15,
2,222,20222,11,1,3,127,,,,,9.11,
2,223,20223,11,1,1,3,,,,,6.7,
2,224,20224,11,1,2,53,,,,,7.19,
2,225,20225,11,1,2,,l,,,,10.93,
2,226,20226,11,1,6,140,,,,,9.02,
2,227,20227,11,1,3,15,,,,,7.56,
2,228,20228,11,1,4,182,,y,,,7.54,
2,229,20229,11,1,3,167,,,,,8.7,
2,230,20230,11,1,3,42,,,,,7.93,
2,231,20231,11,1,6,37,,,,,7.5,
2,232,20232,11,1,2,106,,,,,8.55,
2,233,20233,11,1,0,2,,,,,2.83,
2,234,20234,11,1,1,4,,,,,6.06,
2,235,20235,11,1,3,23,,,,,8.9,
2,236,20236,11,1,2,2,,,,,7.04,
2,237,20237,11,1,0,2,,,,,6.74,
2,238,20238,11,1,5,31,,,,,6.88,
2,239,20239,11,1,3,47,,,,,7.9,
2,240,20240,11,1,0,7,,,,,4.41,
2,241,20241,11,1,5,13,,y,,,6.65,
2,242,20242,11,1,3,16,,y,,,7.09,
2,243,20243,12,1,0,,l,,,strung,17.78,
2,244,20244,12,1,1,,l,,,strung,16.01,
2,245,20245,12,1,6,38,,y,,,10.7,
2,246,20246,12,1,1,8,,,,,6.06,
2,247,20247,12,1,5,,l,,,,11.75,
2,248,20248,12,1,0,2,,,,,3.19,
2,249,20249,12,1,2,174,,,,,11.61,
2,250,20250,12,1,4,60,,,,,8.38,
2,251,20251,12,1,3,2,,,,,6.71,
2,252,20252,12,1,6,34,,,,,7.76,
2,253,20253,12,1,2,62,,,,,9.18,
2,254,20254,12,1,9,73,,,,,9.06,
2,255,20255,12,1,2,2,,,,,6.59,
2,256,20256,12,1,0,55,,y,,,10.76,
2,257,20257,12,1,4,15,,,,,6.77,
2,258,20258,12,1,3,16,,,,,7.5,
2,259,20259,12,1,8,31,,,,,7.65,
2,260,20260,12,1,4,30,,y,,,11.62,
2,261,20261,12,1,8,54,,,,,7.84,
2,262,20262,12,1,8,42,,,,,7.95,
2,263,20263,12,1,4,24,,y,,,10.3,
2,264,20264,13,1,2,,l,,,,10.51,
2,265,20265,13,1,4,,l,,,strung,17.39,
2,266,20266,13,1,4,58,,,,,8.64,
2,267,20267,13,1,1,242,,,,,10.4,
2,268,20268,13,1,0,180,,y,,,10.78,
2,269,20269,13,1,3,11,,y,,,7.96,
2,270,20270,13,1,1,3,,,,,7.4,
2,271,20271,13,1,5,74,,,,,8.26,
2,272,20272,13,1,0,123,,,,,10.18,
2,273,20273,13,1,3,41,,,,,7.18,
2,274,20274,13,1,7,9,,,,,6.91,
2,275,20275,13,1,0,2,,,,,5.13,
2,276,20276,13,1,3,67,,,,,8.35,
2,277,20277,13,2,2,46,,,,,6.87,
2,278,20278,13,3,3,3,,,,,5.86,
2,279,20279,13,1,3,28,,y,,,7.57,
2,280,20280,13,3,1,18,,,,,4.69,
2,281,20281,13,3,4,15,,y,,,6.94,
2,282,20282,13,1,5,74,,y,,,9.38,
2,283,20283,13,1,2,15,,,,,7.08,
2,284,20284,13,1,0,5,,,,,5.53,
2,285,20285,13,3,0,1,,,,,2.82,
2,286,20286,13,1,4,3,,,,,5.82,
2,287,20287,13,1,1,3,,,,,6.09,
2,288,20288,13,1,0,1,,,,,2.41,
2,289,20289,13,1,3,25,,,,,7.38,
2,290,20290,13,1,3,13,,y,,,11.06,
2,291,20291,13,1,1,3,,,,,5.9,
2,292,20292,13,1,3,18,,,,,6.34,
2,293,20293,13,1,2,5,,,,,5.31,
2,294,20294,13,1,0,,l,,,,18.6,
2,295,20295,13,1,3,179,,y,,,13.06,
2,296,20296,13,1,2,122,,y,,,9.58,
2,297,20297,13,1,3,42,,,,,7.21,
2,298,20298,13,1,1,132,,,,,10.92,
2,299,20299,13,1,3,3,,,,,7.39,
2,300,20300,13,1,2,109,,,r,,10.09,
2,301,20301,13,1,2,99,,,,,9.21,
2,302,20302,13,1,1,92,,y,,,10.2,
2,303,20303,13,1,4,14,,,,,7.31,
2,304,20304,13,1,0,80,,y,,,11.02,
2,305,20305,13,1,6,39,,,,,7.65,
2,306,20306,13,1,4,83,,,,,8.21,
2,307,20307,13,1,6,48,,,,,7.46,
2,308,20308,13,1,1,2,,,,,7.59,
2,309,20309,13,1,4,32,,y,,,8.25,
2,310,20310,13,1,6,15,,y,,,9.46,
2,333,20333,13,1,0,11,,,,,6.11,
2,334,20334,13,1,3,,l,,,strung,13.24,
2,335,20335,13,1,4,,l,,,,15.04,
2,336,20336,13,1,0,5,,,,,5.46,
2,337,20337,13,1,4,,l,,,,9.28,
2,338,20338,13,1,5,,l,,,,9.51,
2,339,20339,13,1,4,12,,,,,7.02,
2,340,20340,13,1,1,267,,,,,10.37,
2,341,20341,13,1,3,5,,,,,6.79,
2,342,20342,13,1,5,154,,,,,8.61,
2,343,20343,13,1,2,9,,,,,7.79,
2,344,20344,13,1,1,2,,,,,4.99,
2,345,20345,13,1,3,3,,,,,7.25,
2,346,20346,13,1,3,3,,,,,6.91,
2,347,20347,13,1,5,32,,,,,7.57,
2,348,20348,13,1,3,15,,,,,8.54,
2,349,20349,13,1,5,24,,,,,7.25,
2,350,20350,13,1,0,108,,,r,,8.24,
2,351,20351,13,1,6,29,,,,,7.36,
2,352,20352,13,1,4,10,,,,,7.88,
2,353,20353,13,1,1,12,,,,,6.46,
2,354,20354,13,1,5,18,,y,,,8.37,
2,311,20311,13,1,5,,l,,,,11.69,
2,312,20312,13,1,4,,l,,,,10.38,
2,313,20313,13,1,3,37,,,,,7.16,
2,314,20314,13,1,5,90,,,,,8.35,
2,315,20315,13,1,2,56,,,,,7.37,
2,316,20316,13,1,3,179,,,,,9.15,
2,317,20317,13,1,1,2,,,,,4.17,
2,318,20318,13,3,2,3,,,,,5.8,
2,319,20319,13,2,2,15,,,,,7.46,
2,320,20320,13,2,3,14,,,,,6.66,
2,321,20321,13,1,2,36,,,,,7.43,
2,322,20322,13,1,1,7,,,,,7.72,
2,323,20323,13,1,4,29,,,,,7.92,
2,324,20324,13,1,0,4,,,,,7.08,
2,325,20325,13,1,3,23,,,,,7.19,
2,326,20326,13,1,0,3,,,,,5.33,
2,327,20327,13,1,4,20,,,,,7.75,
2,328,20328,13,1,2,8,,,,,6.64,
2,329,20329,13,1,0,3,,,,,6.88,
2,330,20330,13,2,0,6,,,,,4.32,
2,331,20331,13,2,5,13,,y,,,7.55,
2,332,20332,13,1,3,53,,y,,,8.38,
2,355,20355,14,1,0,2,,,,,5.19,
2,356,20356,14,1,0,14,,,,,6.37,
2,357,20357,14,1,1,,l,,,strung,18.06,
2,358,20358,14,1,0,16,,,,,7.99,
2,359,20359,14,1,2,10,,y,,,11.09,
2,360,20360,14,1,4,,l,,,,11.06,
2,361,20361,14,1,1,6,,,,,6.55,
2,362,20362,14,1,2,4,,,,,6.9,
2,363,20363,14,1,4,99,,,,,11.5,
2,364,20364,14,1,4,9,,,,,8.01,
2,365,20365,14,1,2,8,,,,,8.22,
2,366,20366,14,1,3,8,,,,,7.2,
2,367,20367,14,1,1,2,,,,,6.94,
2,368,20368,14,1,4,6,,,,,7.5,
2,369,20369,14,1,1,1,,,,,6.25,
2,370,20370,14,1,2,38,,,,,8.74,
2,371,20371,14,1,2,52,,,,,9.32,
2,372,20372,14,1,3,2,,,,,5.75,
2,373,20373,14,1,2,3,,,,,7.09,
2,374,20374,14,1,3,5,,,,,8.55,
2,375,20375,14,1,4,17,,,,,9.19,
2,376,20376,14,1,1,2,,,,,5.78,
2,377,20377,14,1,0,18,,,,,7.06,
2,378,20378,14,1,1,2,,,,,6.93,
2,379,20379,14,1,0,5,,,,,7.04,
2,380,20380,14,1,1,3,,,,,6.51,
2,381,20381,14,1,2,3,,,,,7.29,
2,382,20382,14,1,3,5,,,,,7.86,
2,383,20383,14,1,5,11,,,,,8.08,
2,384,20384,14,1,2,24,,,,,6.31,
2,385,20385,15,1,2,8,,,,,6.96,
2,386,20386,15,1,1,6,,,,,6.15,
2,387,20387,15,1,1,,l,,,,9.05,
2,388,20388,16,2,0,165,,,,,7.43,
2,396,20396,17,1,4,105,,,,,9.14,
2,397,20397,17,1,0,,l,,,strung,18.05,
2,398,20398,17,1,1,172,,y,,,11.22,
2,399,20399,17,1,0,17,,,,,6.08,
2,400,20400,17,1,0,1,,,,,4.26,
2,401,20401,17,1,2,4,,,,,5.65,
2,402,20402,17,1,1,25,,,,,6.33,
2,403,20403,17,1,3,15,,y,,,11.58,
2,404,20404,17,1,4,,l,,,,11.93,
2,405,20405,17,2,0,,l,,,,10.02,
2,389,20389,17,1,1,85,,y,,,12.23,
2,390,20390,17,1,4,82,,y,,,13.57,
2,391,20391,17,1,4,,l,,,,11.85,
2,392,20392,17,1,0,6,,,,,6.7,
2,393,20393,17,1,0,4,,,,,3.75,
2,394,20394,17,1,5,8,,,,,6.63,
2,395,20395,17,1,6,183,,,r,,9.46,
