Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes
82,8,1,5,,l,,,,14.4,
83,8,1,3,46,,,,,12.32,
84,8,1,4,34,,,,,9.03,
85,8,1,3,38,,,,,7.07,
86,8,1,3,6,,,,,5.82,
87,8,1,4,32,,,,,9.23,
88,8,1,5,11,,,,,8.02,
89,8,1,3,15,,,,,6.79,
90,8,1,0,7,,,,,4.48,
91,8,1,1,17,,,,,6.96,
92,8,1,4,74,,,,,9.88,
93,8,1,2,6,,,,,4.43,
94,9,1,4,30,,y,,,16.88,
95,9,1,6,58,,,,,10.06,
96,9,1,6,15,,,,,7.53,
97,9,1,5,41,,,,,8.87,
102,9,1,0,6,,,,,5.29,
103,9,1,1,22,,y,,,14.86,
104,9,1,3,54,,y,,,10.57,
105,9,1,5,,l,,,,12.96,
106,9,1,2,15,,,,,6.62,
107,9,1,5,93,,y,,,9.56,
108,9,1,4,7,,,,,5.82,
109,9,1,3,54,,,,,7.77,
110,9,1,4,61,,,,,7.43,
111,9,1,2,12,,,,,5.22,
112,9,1,2,30,,,,,7.9,
113,9,1,4,30,,,,,7.74,
114,9,1,3,7,,,,,5.27,
115,9,1,3,6,,,,,6.22,
116,9,1,1,1,,,,,4.74,
117,9,1,4,29,,,,,7.24,
118,9,1,1,6,,,,,4.41,
119,9,1,3,29,,,,,7.72,
120,9,1,0,9,,,,,5.93,
121,9,1,3,36,,,,,8.57,
122,9,1,5,39,,,,,8.66,
123,9,1,7,12,,y,,,10.08,
124,9,1,5,20,,,,,7.06,
125,9,1,5,32,,y,,,11.43,
126,9,1,1,27,,y,,,11.55,
127,9,1,5,59,,,,,10.92,
128,9,1,6,19,,,,,7.31,
129,9,1,1,11,,,,,5.64,
130,9,1,4,,l,,,,14.4,
131,9,1,3,34,,,,,8.15,
132,9,1,2,9,,,,,6.93,
133,9,1,4,39,,,,,8.88,
134,9,1,2,7,,,,,6.26,
135,9,1,4,19,,,,,6.79,
136,9,1,6,29,,,,,7.55,
137,9,1,3,13,,,,,5.31,
138,9,1,2,4,,,,,4.28,
139,9,1,1,4,,,,,4.33,
140,9,1,1,4,,,,,5.34,
141,9,1,2,7,,,,,4.08,
98,9,1,5,11,,,,,10.91,
99,9,1,5,26,,,,,7.77,
100,9,1,1,9,,y,,,10.32,
101,9,1,1,40,,y,,,9.22,
142,10,1,5,68,,,,,10.63,
143,10,1,2,46,,y,,,13.8,
144,10,1,1,42,,y,,,13.29,
145,10,1,6,,l,,,,10.34,
146,10,1,5,50,,y,,,9.58,
147,10,1,3,20,,,,,5.64,
148,10,1,6,39,,,,,8.91,
149,10,1,5,19,,,,,7.11,
150,10,1,6,53,,,,,8.91,
151,10,1,2,27,,,,,5.81,
152,10,1,4,83,,,,,10.47,
153,10,1,2,12,,,,,4.91,
154,10,1,7,36,,,,,8.46,
155,10,1,3,9,,,,,5.62,
156,10,1,4,13,,,,,6.64,
157,10,1,2,3,,,,,7.35,
158,10,1,5,41,,,,,7.72,
161,11,1,3,19,,y,,,12.03,
159,11,1,2,6,,,,,6.37,
160,11,1,3,15,,,,,7.28,
162,11,1,0,2,,,,,4.92,
163,11,1,8,32,,y,,,13.41,
164,11,1,6,45,,y,,,11.78,
165,11,1,6,24,,y,,,11.34,
166,11,1,5,35,,y,,,9.91,
167,11,1,4,82,,,,,8.34,
168,11,1,5,64,,,,,9.12,
169,11,1,5,74,,y,,,11.32,
170,11,1,4,,l,,,,9.67,
171,11,1,4,90,,,,,8.82,
172,11,1,4,58,,,,,10.81,
173,11,1,4,54,,,,,7.75,
174,11,1,6,78,,,,,10.08,
175,11,1,6,22,,,,,8.57,
176,11,1,3,17,,,,,5.82,
177,11,1,5,35,,,,,8.65,
178,11,1,4,28,,,,,6.43,
179,11,1,7,46,,y,,,8.15,
180,11,1,3,5,,,,,6.14,
181,11,1,0,4,,,,,5.23,
182,11,1,7,40,,y,,,9.38,
183,12,1,4,,l,,,,13.02,
184,12,1,1,3,,,,,4.75,
185,12,1,4,7,,,,,6.05,
186,12,1,4,17,,,,,6.8,
187,12,1,6,14,,y,,,12.03,
188,12,1,0,5,,,,,5.01,
189,12,1,2,,l,,,,14.6,
190,12,1,3,25,,,,,11.4,
191,12,1,4,56,,,,,10.17,
192,12,1,3,,l,,,,9.15,
193,12,1,3,33,,y,,,14.79,
194,12,1,5,174,,,,,8.43,
195,12,1,4,75,,,,,10.79,
196,12,1,6,,l,,,,12.77,
197,12,1,4,26,,,,,8.15,
198,12,1,6,39,,y,,,9.66,
199,12,1,0,5,,,,,5.41,
200,12,1,0,15,,y,,,7.78,
201,12,1,6,,l,,,,13.24,
202,12,1,8,28,,,,,9.24,
203,12,1,4,21,,,,,9.22,
204,12,1,6,39,,,,,9,
205,12,1,5,24,,,,,7.68,
206,12,1,1,6,,,,,5,
207,12,1,4,38,,,,,9.06,
208,12,1,5,39,,,,,9.19,
209,12,1,4,13,,,,,4.98,
210,12,1,4,35,,,,,8.19,
211,12,1,5,40,,,,,8.78,
212,12,1,3,22,,,,,6.84,
213,12,1,4,5,,,,,7.56,
214,12,1,0,3,,,,,5.39,
215,12,1,2,7,,,,,3.67,
216,13,1,1,2,,,,,5.35,
217,13,1,2,7,,,,,5.24,
218,14,1,1,6,,,,,7.49,
219,14,1,4,11,,,,,7.54,
220,14,1,6,72,,,,,11.86,
221,14,1,5,56,,,,,11.82,
222,14,1,5,15,,,,,7.39,
223,14,1,3,,l,,,,13.23,
224,14,1,4,7,,,,,6.11,
225,14,1,5,13,,,,,5.9,
226,14,1,6,8,,,,,6.64,
227,14,1,6,10,,,,,6.81,
228,14,1,4,18,,y,,,9.41,
229,14,1,3,4,,,,,8.13,
230,14,1,4,39,,,,,7.49,
231,14,1,1,4,,,,,7.91,
232,14,1,0,53,,y,,,7.52,
233,14,1,1,11,,,,,5.52,
234,14,1,2,5,,,,,5.15,
235,14,1,0,4,,,,,5.79,
236,14,1,1,7,,,,,5.87,
237,15,1,4,44,,,,,10.42,
238,15,1,3,35,,,,,6.56,
239,15,1,5,43,,,,,8.76,
240,15,1,6,10,,,,,6.52,
241,15,1,5,11,,,,,6.07,
242,15,1,4,34,,,,,8.12,
243,15,1,0,2,,,,,4.76,
244,15,1,4,60,,,,,6.9,
245,15,1,2,4,,,,,4.13,
246,15,1,4,11,,,,,6.94,
247,15,1,5,24,,,,,7.4,
248,15,1,1,5,,,,,3.45,
249,15,1,1,8,,,,,6.03,
250,15,1,2,10,,,,,5.44,
251,15,1,2,6,,,,,7.04,
252,15,1,0,10,,,,,5.3,
253,15,1,0,1,,,,,4.34,
254,15,1,3,1,,,,,8.01,
299,15,1,0,4,,,,,4.88,
300,15,1,1,9,,,,,5.31,
301,15,1,0,7,,,,,7.44,
302,15,1,0,49,,y,,,10.01,
303,15,1,0,6,,,,,5.67,
304,15,1,0,1,,,,,4.64,
305,15,1,0,4,,,,,5.64,
255,16,1,3,,l,,,,15.17,
256,16,1,6,91,,,,,9.89,
257,16,1,5,,l,,,,13.69,
258,16,1,8,41,,,,,9.33,
259,16,1,8,59,,,,,11.2,
260,16,1,5,91,,,,,10.73,
261,16,1,3,6,,,,,5.99,
262,16,1,4,33,,,,,10.11,
263,16,1,5,28,,,,,8.72,
264,16,1,2,13,,,,,6.45,
265,16,1,5,73,,,,,8.93,
266,16,1,3,18,,,,,6.29,
267,16,1,4,25,,,,,7.96,
268,17,1,0,3,,,,,4.97,
269,17,1,3,71,,,,,9.86,
270,18,1,4,20,,,,,7.13,
271,18,1,4,140,,,,,12.13,
272,18,1,6,55,,,,,9.58,
273,18,1,7,42,,,,,9.64,
274,18,1,5,57,,,,,8.41,
275,18,1,1,42,,,,,9.55,
276,18,1,5,38,,,,,10.18,
277,18,1,7,74,,,,,10.26,
278,18,1,4,58,,,,,8.2,
279,18,1,5,,l,,,,9.85,
280,18,1,4,71,,,,,8.24,
281,18,1,6,38,,,,,10.76,
282,18,1,5,44,,,,,7.82,
283,18,1,0,44,,y,,,14.65,
284,18,1,6,62,,,,,9.94,
285,18,1,4,,l,,,,8.73,
286,18,1,3,89,,,,,9.35,
287,18,1,3,34,,,,,6.22,
288,18,1,4,95,,,,,7.9,
289,18,1,3,6,,,,,6.23,
290,18,1,3,15,,,,,5.21,
291,18,1,3,27,,,,,7.29,
292,18,1,5,11,,,,,6.94,
293,18,1,3,26,,,,,7.43,
294,18,1,2,7,,,,,3.78,
295,19,1,5,9,,,,,6.15,
297,19,1,4,33,,,,,8.21,
296,19,1,7,,l,,,,8.97,
298,19,1,5,,l,,,,11.68,
